# Residuals     
# Time          	p               	Ux              	Uz              	e               	k               	omega           
0               	N/A	N/A	N/A	N/A	N/A
0.0022          	5.30428134e-03	4.18336570e-03	9.62625549e-03	6.59210284e-03	1.30620529e-03	2.19273520e-04
0.00222         	5.31680410e-03	4.20471791e-03	9.58121186e-03	6.60763082e-03	1.29884063e-03	2.18939587e-04
0.00224         	5.32775912e-03	4.22393304e-03	9.52475390e-03	6.62435571e-03	1.29026893e-03	2.18422455e-04
0.00226         	5.33883036e-03	4.24157766e-03	9.46011388e-03	6.64454082e-03	1.28078758e-03	2.18059893e-04
0.00228         	5.35177469e-03	4.25286670e-03	9.41097358e-03	6.65367099e-03	1.27090388e-03	2.17533117e-04
0.0023          	5.36252856e-03	4.26041000e-03	9.38339161e-03	6.64255523e-03	1.26148358e-03	2.16985388e-04
0.00232         	5.37250647e-03	4.26984204e-03	9.35554423e-03	6.65059970e-03	1.25328058e-03	2.16535325e-04
0.00234         	5.38195389e-03	4.28403448e-03	9.30542860e-03	6.65471949e-03	1.24532960e-03	2.16125291e-04
0.00236         	5.38975652e-03	4.30065208e-03	9.23993576e-03	6.65753966e-03	1.23751335e-03	2.15813289e-04
0.00238         	5.40042941e-03	4.31701680e-03	9.18956266e-03	6.66822545e-03	1.23124790e-03	2.16983609e-04
0.0024          	5.41460257e-03	4.33614789e-03	9.13521549e-03	6.68728065e-03	1.22620255e-03	2.16759284e-04
0.00242         	5.42684587e-03	4.35465371e-03	9.09722826e-03	6.70207754e-03	1.22014417e-03	2.16560752e-04
0.00244         	5.44222564e-03	4.37053175e-03	9.04955717e-03	6.73267823e-03	1.21293232e-03	2.16368901e-04
0.00246         	5.45283553e-03	4.37714895e-03	9.01558363e-03	6.73832681e-03	1.20569379e-03	2.16244981e-04
0.00248         	5.46223660e-03	4.38006809e-03	8.98180065e-03	6.73466396e-03	1.19922274e-03	2.16090007e-04
0.0025          	5.46939612e-03	4.38433050e-03	8.94771034e-03	6.73465473e-03	1.19282546e-03	2.15954924e-04
0.00252         	5.47622246e-03	4.39633993e-03	8.89858480e-03	6.72842263e-03	1.18738341e-03	2.15873259e-04
0.00254         	5.48587114e-03	4.41153684e-03	8.85036929e-03	6.73391002e-03	1.18189157e-03	2.15913429e-04
0.00256         	5.50000859e-03	4.42769467e-03	8.80295160e-03	6.75672501e-03	1.17831152e-03	2.15420674e-04
0.00258         	5.51046631e-03	4.44249687e-03	8.75435818e-03	6.77476390e-03	1.17393743e-03	2.15528115e-04
0.0026          	5.51775092e-03	4.45681983e-03	8.70569050e-03	6.78613650e-03	1.16969204e-03	2.15658014e-04
0.00262         	5.52893856e-03	4.47217103e-03	8.66163084e-03	6.80617192e-03	1.16491000e-03	2.15880015e-04
0.00264         	5.54093420e-03	4.47981545e-03	8.62633958e-03	6.82039287e-03	1.16037960e-03	2.16080803e-04
0.00266         	5.55279195e-03	4.48353130e-03	8.59721763e-03	6.82675551e-03	1.15629044e-03	2.16284167e-04
0.00268         	5.56544736e-03	4.48558826e-03	8.56507060e-03	6.82581167e-03	1.15336850e-03	2.16452020e-04
0.0027          	5.57148440e-03	4.48838213e-03	8.53435036e-03	6.82739358e-03	1.14972612e-03	2.16720518e-04
0.00272         	5.57320892e-03	4.50059827e-03	8.49066054e-03	6.82716119e-03	1.14914180e-03	2.16721128e-04
0.00274         	5.57618892e-03	4.51385261e-03	8.44260467e-03	6.83298539e-03	1.14701376e-03	2.17038108e-04
0.00276         	5.58776741e-03	4.52577702e-03	8.38579804e-03	6.83562035e-03	1.14456324e-03	2.17529647e-04
0.00278         	5.60274242e-03	4.53646808e-03	8.33258975e-03	6.85388572e-03	1.14267265e-03	2.18049901e-04
